
Solver will write file: ss_24F104.lp

Reading data files.[    0.03]
Creating Temoa model instance.[    0.18]
Solving.[    0.17]
Calculating reporting variables and formatting results.[    0.88]
Model name: Temoa
Objective function value (TotalCost): 36535.631200002914
Non-zero variable values:
  36535.631200002914       Objective[('TotalCost')]
      0.175                V_Capacity[utopia,E01,1960]
      0.175                V_Capacity[utopia,E01,1970]
      0.15                 V_Capacity[utopia,E01,1980]
      1.3660901            V_Capacity[utopia,E01,2000]
      0.41979986           V_Capacity[utopia,E01,2010]
      0.1                  V_Capacity[utopia,E31,1980]
      0.03                 V_Capacity[utopia,E31,1990]
      0.5                  V_Capacity[utopia,E51,1980]
      0.031408388          V_Capacity[utopia,E51,2010]
      0.05                 V_Capacity[utopia,E70,1960]
      0.05                 V_Capacity[utopia,E70,1970]
      0.2                  V_Capacity[utopia,E70,1980]
    106.08555              V_Capacity[utopia,IMPDSL1,1990]
     30.0                  V_Capacity[utopia,IMPGSL1,1990]
    152.64492              V_Capacity[utopia,IMPHCO1,1990]
      3.5236094            V_Capacity[utopia,IMPHYD,1990]
     33.167327             V_Capacity[utopia,RHE,2000]
     12.5                  V_Capacity[utopia,RHO,1970]
     12.5                  V_Capacity[utopia,RHO,1980]
     16.334653             V_Capacity[utopia,RHO,1990]
     43.50099              V_Capacity[utopia,RHO,2010]
      5.6                  V_Capacity[utopia,RL1,1980]
      2.8008401            V_Capacity[utopia,RL1,1990]
     12.60126              V_Capacity[utopia,RL1,2000]
     18.90189              V_Capacity[utopia,RL1,2010]
      0.1                  V_Capacity[utopia,SRE,1990]
      0.4                  V_Capacity[utopia,TXD,1970]
      0.2                  V_Capacity[utopia,TXD,1980]
      1.56                 V_Capacity[utopia,TXD,2000]
      3.98                 V_Capacity[utopia,TXD,2010]
      3.1                  V_Capacity[utopia,TXG,1970]
      1.5                  V_Capacity[utopia,TXG,1980]
      4.54                 V_Capacity[utopia,TXG,2000]
      4.66                 V_Capacity[utopia,TXG,2010]
      0.5                  V_CapacityAvailableByPeriodAndTech[utopia,1990,E01]
      0.13                 V_CapacityAvailableByPeriodAndTech[utopia,1990,E31]
      0.5                  V_CapacityAvailableByPeriodAndTech[utopia,1990,E51]
      0.3                  V_CapacityAvailableByPeriodAndTech[utopia,1990,E70]
    106.08555              V_CapacityAvailableByPeriodAndTech[utopia,1990,IMPDSL1]
     30.0                  V_CapacityAvailableByPeriodAndTech[utopia,1990,IMPGSL1]
    152.64492              V_CapacityAvailableByPeriodAndTech[utopia,1990,IMPHCO1]
      3.5236094            V_CapacityAvailableByPeriodAndTech[utopia,1990,IMPHYD]
     41.334653             V_CapacityAvailableByPeriodAndTech[utopia,1990,RHO]
      8.4008401            V_CapacityAvailableByPeriodAndTech[utopia,1990,RL1]
      0.1                  V_CapacityAvailableByPeriodAndTech[utopia,1990,SRE]
      0.6                  V_CapacityAvailableByPeriodAndTech[utopia,1990,TXD]
      4.6                  V_CapacityAvailableByPeriodAndTech[utopia,1990,TXG]
      1.6910901            V_CapacityAvailableByPeriodAndTech[utopia,2000,E01]
      0.13                 V_CapacityAvailableByPeriodAndTech[utopia,2000,E31]
      0.5                  V_CapacityAvailableByPeriodAndTech[utopia,2000,E51]
      0.25                 V_CapacityAvailableByPeriodAndTech[utopia,2000,E70]
    106.08555              V_CapacityAvailableByPeriodAndTech[utopia,2000,IMPDSL1]
     30.0                  V_CapacityAvailableByPeriodAndTech[utopia,2000,IMPGSL1]
    152.64492              V_CapacityAvailableByPeriodAndTech[utopia,2000,IMPHCO1]
      3.5236094            V_CapacityAvailableByPeriodAndTech[utopia,2000,IMPHYD]
     33.167327             V_CapacityAvailableByPeriodAndTech[utopia,2000,RHE]
     28.834653             V_CapacityAvailableByPeriodAndTech[utopia,2000,RHO]
     12.60126              V_CapacityAvailableByPeriodAndTech[utopia,2000,RL1]
      0.1                  V_CapacityAvailableByPeriodAndTech[utopia,2000,SRE]
      1.76                 V_CapacityAvailableByPeriodAndTech[utopia,2000,TXD]
      6.04                 V_CapacityAvailableByPeriodAndTech[utopia,2000,TXG]
      1.9358899            V_CapacityAvailableByPeriodAndTech[utopia,2010,E01]
      0.13                 V_CapacityAvailableByPeriodAndTech[utopia,2010,E31]
      0.53140839           V_CapacityAvailableByPeriodAndTech[utopia,2010,E51]
      0.2                  V_CapacityAvailableByPeriodAndTech[utopia,2010,E70]
    106.08555              V_CapacityAvailableByPeriodAndTech[utopia,2010,IMPDSL1]
     30.0                  V_CapacityAvailableByPeriodAndTech[utopia,2010,IMPGSL1]
